adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"Jacob van Gaesbeeklaan 1, 1391CE Abcoude","1391CE","1","Jacob van Gaesbeeklaan","Abcoude","De Ronde Venen","verblijfsobject",52.27002044,4.97808994
"Jan Trouwstraat 1, 1391TT Abcoude","1391TT","1","Jan Trouwstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26800478,4.96827749
"Johan van Gorkumstraat 1, 1391GB Abcoude","1391GB","1","Johan van Gorkumstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26681126,4.9700646
"Jonkersgang 1, 1391DS Abcoude","1391DS","1","Jonkersgang","Abcoude","De Ronde Venen","verblijfsobject",52.26401186,4.97089159
"Kanaaldijk West 1, 1391HT Abcoude","1391HT","1","Kanaaldijk West","Abcoude","De Ronde Venen","verblijfsobject",52.27332228,5.01839375
"Kerkgaarde 1, 1391MB Abcoude","1391MB","1","Kerkgaarde","Abcoude","De Ronde Venen","verblijfsobject",52.27319442,4.97416902
"Kerkplein 1, 1391GJ Abcoude","1391GJ","1","Kerkplein","Abcoude","De Ronde Venen","verblijfsobject",52.2721265,4.97460788
"Kievitsheuvel 1, 1391AP Abcoude","1391AP","1","Kievitsheuvel","Abcoude","De Ronde Venen","verblijfsobject",52.27134346,4.9696493
"Kloosterhof 1, 1391JP Abcoude","1391JP","1","Kloosterhof","Abcoude","De Ronde Venen","verblijfsobject",52.27310987,4.97774692
"Koningsvaren 1, 1391AC Abcoude","1391AC","1","Koningsvaren","Abcoude","De Ronde Venen","verblijfsobject",52.27601161,4.97056184
"Koppeldijk 1, 1391CW Abcoude","1391CW","1","Koppeldijk","Abcoude","De Ronde Venen","verblijfsobject",52.26948279,4.97385352
"Koppelkade 1, 1391CT Abcoude","1391CT","1","Koppelkade","Abcoude","De Ronde Venen","verblijfsobject",52.26972487,4.97401734
"Koppelland 1, 1391EV Abcoude","1391EV","1","Koppelland","Abcoude","De Ronde Venen","verblijfsobject",52.2679308,4.97375109
"Koppelrust 1, 1391GC Abcoude","1391GC","1","Koppelrust","Abcoude","De Ronde Venen","verblijfsobject",52.26688125,4.96647935
"Korenerf 1, 1391DH Abcoude","1391DH","1","Korenerf","Abcoude","De Ronde Venen","verblijfsobject",52.26418285,4.96896751
"Kortenhorststraat 1, 1391VG Abcoude","1391VG","1","Kortenhorststraat","Abcoude","De Ronde Venen","verblijfsobject",52.27035431,4.96860445
"Kuyerpad 1, 1391RT Abcoude","1391RT","1","Kuyerpad","Abcoude","De Ronde Venen","verblijfsobject",52.27372277,4.96557581
"Laan van Binnenrust 1, 1391BW Abcoude","1391BW","1","Laan van Binnenrust","Abcoude","De Ronde Venen","verblijfsobject",52.27044204,4.97362251
"Landzicht 1, 1391XE Abcoude","1391XE","1","Landzicht","Abcoude","De Ronde Venen","verblijfsobject",52.27322934,4.96872601
"Lange Coupure 1, 1391KN Abcoude","1391KN","1","Lange Coupure","Abcoude","De Ronde Venen","verblijfsobject",52.26670484,4.98288315
"Leeuwenburgh 1, 1391RE Abcoude","1391RE","1","Leeuwenburgh","Abcoude","De Ronde Venen","verblijfsobject",52.27395147,4.96643874
"Leo Dongelmansstraat 1, 1391EW Abcoude","1391EW","1","Leo Dongelmansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26758867,4.97310562
"Lindewetering 1, 1391DA Abcoude","1391DA","1","Lindewetering","Abcoude","De Ronde Venen","verblijfsobject",52.266509,4.96755896
"Meerweg 1, 1391HG Abcoude","1391HG","1","Meerweg","Abcoude","De Ronde Venen","verblijfsobject",52.27221753,4.97276686
"Meerzicht 1, 1391AR Abcoude","1391AR","1","Meerzicht","Abcoude","De Ronde Venen","verblijfsobject",52.27108062,4.96853352
"Moinatstraat 1, 1391TV Abcoude","1391TV","1","Moinatstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26892632,4.9673309
"Molenweg 1, 1391CG Abcoude","1391CG","1","Molenweg","Abcoude","De Ronde Venen","verblijfsobject",52.27010869,4.97450103
"Molenwetering 1, 1391RR Abcoude","1391RR","1","Molenwetering","Abcoude","De Ronde Venen","verblijfsobject",52.27302556,4.9622213
"Molenzicht 1, 1391DJ Abcoude","1391DJ","1","Molenzicht","Abcoude","De Ronde Venen","verblijfsobject",52.26394788,4.9695254
"Morgenerf 1, 1391DG Abcoude","1391DG","1","Morgenerf","Abcoude","De Ronde Venen","verblijfsobject",52.26455264,4.96846392
"Nellestein 1, 1391VE Abcoude","1391VE","1","Nellestein","Abcoude","De Ronde Venen","verblijfsobject",52.26958843,4.96938239
"Oldenhoff 1, 1391VR Abcoude","1391VR","1","Oldenhoff","Abcoude","De Ronde Venen","verblijfsobject",52.27169592,4.97020185
"Omloop 1, 1391DN Abcoude","1391DN","1","Omloop","Abcoude","De Ronde Venen","verblijfsobject",52.26561609,4.97221444
"Oude Dijk 1, 1391KP Abcoude","1391KP","1","Oude Dijk","Abcoude","De Ronde Venen","verblijfsobject",52.26609754,4.98025614
"Paddenburg 1, 1391RK Abcoude","1391RK","1","Paddenburg","Abcoude","De Ronde Venen","verblijfsobject",52.27413545,4.96427255
"Papehof 1, 1391BD Abcoude","1391BD","1","Papehof","Abcoude","De Ronde Venen","verblijfsobject",52.27189426,4.96515421
"Peppinghof 1, 1391BA Abcoude","1391BA","1","Peppinghof","Abcoude","De Ronde Venen","verblijfsobject",52.27207117,4.96270562
"Pienemanstraat 1, 1391XD Abcoude","1391XD","1","Pienemanstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27270555,4.96655366
"Poelestein 1, 1391RG Abcoude","1391RG","1","Poelestein","Abcoude","De Ronde Venen","verblijfsobject",52.27425544,4.96529258
"Polderweg 1, 1391HR Abcoude","1391HR","1","Polderweg","Abcoude","De Ronde Venen","verblijfsobject",52.26384163,4.95818732
"Proostdijstraat 1, 1391TZ Abcoude","1391TZ","1","Proostdijstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26837105,4.97092474
"Raadhuislaan 1, 1391CJ Abcoude","1391CJ","1","Raadhuislaan","Abcoude","De Ronde Venen","verblijfsobject",52.26954991,4.97327411
"Raadhuisplein 1, 1391CV Abcoude","1391CV","1","Raadhuisplein","Abcoude","De Ronde Venen","verblijfsobject",52.26974897,4.97389742
"Reijer Spreijstraat 1, 1391GA Abcoude","1391GA","1","Reijer Spreijstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26705209,4.97089079
"Roomolen 1, 1391RD Abcoude","1391RD","1","Roomolen","Abcoude","De Ronde Venen","verblijfsobject",52.27445465,4.96715247
"Roos Vlasmanstraat 1, 1391EH Abcoude","1391EH","1","Roos Vlasmanstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26813482,4.97830682
"Ruwelspad 1, 1391JA Abcoude","1391JA","1","Ruwelspad","Abcoude","De Ronde Venen","verblijfsobject",52.27989578,4.97055904
"Sandbergstraat 1, 1391EJ Abcoude","1391EJ","1","Sandbergstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26772434,4.97550332
"Schuttenburg 1, 1391XH Abcoude","1391XH","1","Schuttenburg","Abcoude","De Ronde Venen","verblijfsobject",52.27321658,4.96987047
"Slotplaats 1, 1391DB Abcoude","1391DB","1","Slotplaats","Abcoude","De Ronde Venen","verblijfsobject",52.26393024,4.97140481
"Slotspolder 1, 1391RB Abcoude","1391RB","1","Slotspolder","Abcoude","De Ronde Venen","verblijfsobject",52.27473576,4.96798971
"Sluijterstraat 1, 1391XC Abcoude","1391XC","1","Sluijterstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27245669,4.9666886
"Spoorlaan 1, 1391SZ Abcoude","1391SZ","1","Spoorlaan","Abcoude","De Ronde Venen","verblijfsobject",52.27676558,4.97647046
"Starnheim 1, 1391RV Abcoude","1391RV","1","Starnheim","Abcoude","De Ronde Venen","verblijfsobject",52.27400521,4.96542505
"Stationsstraat 1, 1391GL Abcoude","1391GL","1","Stationsstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27181884,4.97476871
"Stigterhof 1, 1391JC Abcoude","1391JC","1","Stigterhof","Abcoude","De Ronde Venen","verblijfsobject",52.27066742,4.96451817
"Theo Snoekstraat 1, 1391EZ Abcoude","1391EZ","1","Theo Snoekstraat","Abcoude","De Ronde Venen","verblijfsobject",52.2671968,4.97164525
"Theodorus de Leeuwlaan 1, 1391CB Abcoude","1391CB","1","Theodorus de Leeuwlaan","Abcoude","De Ronde Venen","verblijfsobject",52.27094195,4.97607872
"Torenlaan 1, 1391VM Abcoude","1391VM","1","Torenlaan","Abcoude","De Ronde Venen","verblijfsobject",52.2710829,4.97079634
"van Oosterhoutstraat 1, 1391VH Abcoude","1391VH","1","van Oosterhoutstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27024937,4.97024293
"van Tuijll van Serooskerkenstraat 1, 1391EN Abcoude","1391EN","1","van Tuijll van Serooskerkenstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26863448,4.97589153
"Van Voorthuijsenhof 1, 1391JR Abcoude","1391JR","1","Van Voorthuijsenhof","Abcoude","De Ronde Venen","verblijfsobject",52.26996257,4.96611162
"Velterslaan 1, 1391HV Abcoude","1391HV","1","Velterslaan","Abcoude","De Ronde Venen","verblijfsobject",52.27571636,5.01624304
"Vennicxstraat 1, 1391VJ Abcoude","1391VJ","1","Vennicxstraat","Abcoude","De Ronde Venen","verblijfsobject",52.2700924,4.96873137
"Vlaserf 1, 1391DW Abcoude","1391DW","1","Vlaserf","Abcoude","De Ronde Venen","verblijfsobject",52.26344179,4.97028894
"Voetangelweg 1, 1391HJ Abcoude","1391HJ","1","Voetangelweg","Abcoude","De Ronde Venen","verblijfsobject",52.27639892,4.96157668
"Voordijk 1, 1391VV Abcoude","1391VV","1","Voordijk","Abcoude","De Ronde Venen","verblijfsobject",52.26987762,4.97336523
"Waardassackerstraat 1, 1391TW Abcoude","1391TW","1","Waardassackerstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26801307,4.97021737
"Waterlelie 1, 1391TL Abcoude","1391TL","1","Waterlelie","Abcoude","De Ronde Venen","verblijfsobject",52.27610514,4.9742872
"Willem van Abcoudelaan 1, 1391CC Abcoude","1391CC","1","Willem van Abcoudelaan","Abcoude","De Ronde Venen","verblijfsobject",52.27017104,4.97633347
"Winkeldijk 1, 1391HK Abcoude","1391HK","1","Winkeldijk","Abcoude","De Ronde Venen","verblijfsobject",52.26569811,4.97699171
"Zilverschoon 1, 1391XP Abcoude","1391XP","1","Zilverschoon","Abcoude","De Ronde Venen","verblijfsobject",52.27633866,4.97188501
