adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"Meerlaan 1, 1394AA Nederhorst den Berg",1394AA,1,Meerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25290784,5.04864453
"Meidoornhof 1, 1394JP Nederhorst den Berg",1394JP,1,Meidoornhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25239413,5.04628808
"Meidoornlaan 1, 1394BZ Nederhorst den Berg",1394BZ,1,Meidoornlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2525504,5.04678233
"Meindert Hobbemastraat 1, 1394EE Nederhorst den Berg",1394EE,1,Meindert Hobbemastraat,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26434275,5.04048935
"Middenweg 1, 1394AC Nederhorst den Berg",1394AC,1,Middenweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.24935061,5.05923277
"Nieuw Walden 1, 1394PA Nederhorst den Berg",1394PA,1,Nieuw Walden,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25166168,5.08321783
"Olmenlaan 1, 1394JT Nederhorst den Berg",1394JT,1,Olmenlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25015645,5.04814118
"Overmeerseweg 1, 1394BC Nederhorst den Berg",1394BC,1,Overmeerseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26366554,5.04559224
"Patrijslaan 1, 1394CM Nederhorst den Berg",1394CM,1,Patrijslaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25469644,5.04585146
"Paulus Potterstraat 1, 1394EZ Nederhorst den Berg",1394EZ,1,Paulus Potterstraat,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26640357,5.04138155
"Philips van Wassenaerln 1, 1394GZ Nederhorst den Berg",1394GZ,1,Philips van Wassenaerln,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26746707,5.04652235
"Pieter de Hooghlaan 1, 1394GJ Nederhorst den Berg",1394GJ,1,Pieter de Hooghlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26659165,5.0442367
"Platanenlaan 1, 1394JR Nederhorst den Berg",1394JR,1,Platanenlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.24987728,5.05082918
"Prunuslaan 1, 1394BW Nederhorst den Berg",1394BW,1,Prunuslaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25201348,5.04738041
"Radioweg 1, 1394AR Nederhorst den Berg",1394AR,1,Radioweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.24205854,5.06801262
"Reeweg 1, 1394JD Nederhorst den Berg",1394JD,1,Reeweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26690371,5.04519666
"Reigerlaan 1, 1394CK Nederhorst den Berg",1394CK,1,Reigerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25537695,5.04496751
"Rembrandt van Rijnhof 1, 1394EH Nederhorst den Berg",1394EH,1,Rembrandt van Rijnhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26353038,5.03930917
"Rietsnijderslaan 1, 1394LC Nederhorst den Berg",1394LC,1,Rietsnijderslaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25796485,5.0478769
"Rivièrahof 1, 1394DB Nederhorst den Berg",1394DB,1,Rivièrahof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25315411,5.04709345
"Slotzicht 1, 1394BP Nederhorst den Berg",1394BP,1,Slotzicht,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26052856,5.04551379
"Sniplaan 1, 1394BA Nederhorst den Berg",1394BA,1,Sniplaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25090235,5.09447671
"Spiegelweg 1, 1394JA Nederhorst den Berg",1394JA,1,Spiegelweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27788284,5.05137358
"Torenweg 1, 1394EA Nederhorst den Berg",1394EA,1,Torenweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26314389,5.04237366
"Turfstekerslaan 1, 1394KX Nederhorst den Berg",1394KX,1,Turfstekerslaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25801634,5.04702701
"Uiterdijksehof 1, 1394JK Nederhorst den Berg",1394JK,1,Uiterdijksehof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25161286,5.04871611
"Vaartweg 1, 1394GL Nederhorst den Berg",1394GL,1,Vaartweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26375563,5.04566479
"Veenderij 1, 1394LA Nederhorst den Berg",1394LA,1,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25762454,5.04518457
"Venenburg 1, 1394NB Nederhorst den Berg",1394NB,1,Venenburg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25262324,5.05002645
"Voorstraat 1, 1394CS Nederhorst den Berg",1394CS,1,Voorstraat,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26333889,5.04452543
"Wethouder Bloklaan 1, 1394BT Nederhorst den Berg",1394BT,1,Wethouder Bloklaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25205195,5.04825879
"Wilgenlaan 1, 1394JS Nederhorst den Berg",1394JS,1,Wilgenlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.24974947,5.0466099
"Zoddeland 1, 1394KP Nederhorst den Berg",1394KP,1,Zoddeland,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25679309,5.04671415
"Ankeveensepad 1a, 1394GW Nederhorst den Berg",1394GW,1a,Ankeveensepad,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26392686,5.0459926
"Blijklaan 1a, 1394KA Nederhorst den Berg",1394KA,1a,Blijklaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26172945,5.04742342
"George Hendrik Breitnerlaan 1a-GA, 1394ET Nederhorst den Berg",1394ET,1a-GA,George Hendrik Breitnerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2648087,5.04127255
"Hendrik Willem Mesdaglaan 1a-GA, 1394GC Nederhorst den Berg",1394GC,1a-GA,Hendrik Willem Mesdaglaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26584959,5.0419119
"Hinderdam 1a, 1394JB Nederhorst den Berg",1394JB,1a,Hinderdam,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27792328,5.05042016
"Lange Wetering 1a, 1394KC Nederhorst den Berg",1394KC,1a,Lange Wetering,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25707816,5.04493571
"Meerlaan 1a, 1394AA Nederhorst den Berg",1394AA,1a,Meerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25311659,5.04870907
"Meidoornlaan 1a, 1394BZ Nederhorst den Berg",1394BZ,1a,Meidoornlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25212198,5.04672518
"Middenweg 1a, 1394AC Nederhorst den Berg",1394AC,1a,Middenweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.24922986,5.05857907
"Reeweg 1a, 1394JD Nederhorst den Berg",1394JD,1a,Reeweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26705754,5.04506133
"Reigerlaan 1a, 1394CK Nederhorst den Berg",1394CK,1a,Reigerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25555513,5.04455326
"Rembrandt van Rijnhof 1a-GA, 1394EH Nederhorst den Berg",1394EH,1a-GA,Rembrandt van Rijnhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26375115,5.04103595
"Slotlaan 1A-1, 1394BK Nederhorst den Berg",1394BK,1A-1,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-10, 1394BK Nederhorst den Berg",1394BK,1A-10,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-11, 1394BK Nederhorst den Berg",1394BK,1A-11,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-12, 1394BK Nederhorst den Berg",1394BK,1A-12,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-13, 1394BK Nederhorst den Berg",1394BK,1A-13,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-14, 1394BK Nederhorst den Berg",1394BK,1A-14,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-15, 1394BK Nederhorst den Berg",1394BK,1A-15,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-16, 1394BK Nederhorst den Berg",1394BK,1A-16,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-2, 1394BK Nederhorst den Berg",1394BK,1A-2,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-6, 1394BK Nederhorst den Berg",1394BK,1A-6,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-7, 1394BK Nederhorst den Berg",1394BK,1A-7,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Slotlaan 1A-9, 1394BK Nederhorst den Berg",1394BK,1A-9,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2616144,5.0419719
"Sniplaan 1a, 1394BA Nederhorst den Berg",1394BA,1a,Sniplaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25079964,5.0951426
"Spiegelpolder 1A-1, 1394HX Nederhorst den Berg",1394HX,1A-1,Spiegelpolder,Nederhorst den Berg,Wijdemeren,standplaats,52.27332188,5.04876914
"Spiegelpolder 1A-2, 1394HX Nederhorst den Berg",1394HX,1A-2,Spiegelpolder,Nederhorst den Berg,Wijdemeren,standplaats,52.27330542,5.04891384
"Spiegelpolder 1A-3, 1394HX Nederhorst den Berg",1394HX,1A-3,Spiegelpolder,Nederhorst den Berg,Wijdemeren,standplaats,52.27329099,5.04905407
"Spiegelpolder 1A-4, 1394HX Nederhorst den Berg",1394HX,1A-4,Spiegelpolder,Nederhorst den Berg,Wijdemeren,standplaats,52.27327602,5.04919798
"Spiegelpolder 1A-5, 1394HX Nederhorst den Berg",1394HX,1A-5,Spiegelpolder,Nederhorst den Berg,Wijdemeren,standplaats,52.27325973,5.04934082
